Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Niños y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,No,Votos por el Si,Si,Votos validos,Votos totales,Cuantos salieron a votar,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
MONTEBELLO,ANTIOQUIA,1426,43.03%,2245,37.98%,Zuluaga,66.88%,2660,45.00%,Zuluaga,6043,2.63,21.39,733.59,86.88,3.78,0.49,0.99,0.99,Ninguno,0,776,0.448814344,953,0.551185656,1729,1827,30.23%,68.22%,No,No,0,0
MURINDO,ANTIOQUIA,661,3.90%,615,24.52%,Santos,4.32%,1111,44.30%,Santos,2724,2.77,11.3,689.47,16.41,1.49,1.07,0.64,0,Alto,3,44,0.039391226,1073,0.960608774,1117,1150,42.22%,78.34%,No,No,0,0
MUTATA,ANTIOQUIA,2202,23.06%,3049,25.33%,Santos,25.20%,4516,37.51%,Santos,13626,4.46,60.87,2019.88,90.86,4.79,0.52,1.71,6.36,Intermedio,2,1016,0.354996506,1846,0.645003494,2862,3030,22.24%,73.23%,No,Si,1.18,0
NARINO,ANTIOQUIA,2851,74.54%,3146,35.48%,Zuluaga,84.21%,3888,43.85%,Zuluaga,9015,11.27,37.57,1082.29,75.49,7.95,0.74,1.77,0,Ninguno,0,1626,0.674129353,786,0.325870647,2412,2513,27.88%,85.34%,No,No,0,0
NECOCLI,ANTIOQUIA,9911,26.26%,9329,30.36%,Santos,31.84%,13270,43.18%,Santos,32486,0.63,10.44,665.73,27.1,1.44,1.28,0,1.13,Ninguno,0,2860,0.396176756,4359,0.603823244,7219,7475,23.01%,75.33%,No,No,0,0
NECHI,ANTIOQUIA,5222,39.71%,3755,21.72%,Zuluaga,56.72%,5938,34.35%,Zuluaga,18186,0.99,16.41,466.22,14.58,1.54,0.29,0.18,0,Ninguno,0,1799,0.481531049,1937,0.518468951,3736,3834,21.08%,47.02%,No,Si,128.35,0
OLAYA,ANTIOQUIA,1127,49.29%,992,35.83%,Zuluaga,73.45%,1288,46.51%,Zuluaga,2719,0.92,16.47,114.09,65.59,1.83,0,0,0,Ninguno,0,449,0.621883657,273,0.378116343,722,740,27.22%,91.62%,No,No,0,0
PENOL,ANTIOQUIA,4587,43.53%,5683,38.87%,Zuluaga,66.27%,6732,46.04%,Zuluaga,15806,0.69,12.49,359.54,56.41,1.01,0,0.13,0,Ninguno,0,3265,0.616386634,2032,0.383613366,5297,5415,34.26%,42.98%,No,No,0,0
PEQUE,ANTIOQUIA,1986,45.31%,2494,44.24%,Zuluaga,50.30%,2795,49.57%,Zuluaga,6089,1.17,20.61,1346.44,67.52,4.34,1.27,1.08,0,Intermedio,2,608,0.271428571,1632,0.728571429,2240,2331,38.28%,81.49%,No,No,0,0
PUEBLORRICO,ANTIOQUIA,1749,54.48%,2434,35.67%,Zuluaga,79.45%,3065,44.92%,Zuluaga,7113,1.74,13.6,201.5,66.98,0.43,0,0,0,Ninguno,0,1138,0.657423455,593,0.342576545,1731,1787,25.12%,48.75%,No,No,0,0
PUERTO BERRIO,ANTIOQUIA,7414,33.06%,9655,29.00%,Zuluaga,51.99%,11401,34.24%,Zuluaga,34085,1.84,16.39,159.84,53.38,1.01,0.46,0.1,0,Ninguno,0,6046,0.685021527,2780,0.314978473,8826,9028,26.49%,10.40%,No,No,0,0
PUERTO NARE,ANTIOQUIA,4055,20.82%,4179,35.83%,Santos,27.30%,5147,44.13%,Santos,12202,0.42,9.02,112.44,36.67,0.53,0.11,0,0,Ninguno,0,1600,0.41226488,2281,0.58773512,3881,3974,32.57%,57.44%,No,No,0,0
PUERTO TRIUNFO,ANTIOQUIA,4025,48.71%,4652,38.22%,Zuluaga,65.47%,5493,45.13%,Zuluaga,12982,0.44,5.81,89.88,26.41,1.61,0.05,0.05,0,Ninguno,0,2823,0.737075718,1007,0.262924282,3830,3902,30.06%,69.29%,No,No,0,0
REMEDIOS,ANTIOQUIA,2084,24.90%,3317,20.88%,Zuluaga,48.84%,3720,23.41%,Zuluaga,17020,3.51,25.12,348.28,86.59,2.04,0.7,1,0,Intermedio,2,2229,0.652708638,1186,0.347291362,3415,3579,21.03%,63.56%,Si,Si,3.99,0
RETIRO,ANTIOQUIA,5634,45.68%,7422,52.68%,Zuluaga,68.19%,8293,58.86%,Zuluaga,15100,0.57,1.19,33.3,28.79,0.52,0,0,0,Ninguno,0,4703,0.68676986,2145,0.31323014,6848,6951,46.03%,48.19%,No,No,0,0
RIONEGRO,ANTIOQUIA,29460,37.82%,47793,54.78%,Zuluaga,63.25%,48385,55.46%,Zuluaga,94806,0.61,1.49,15.23,24.98,0.36,0,0.03,0,Ninguno,0,32596,0.694167004,14361,0.305832996,46957,47791,50.41%,34.55%,No,No,0,0
SABANALARGA,ANTIOQUIA,2060,50.17%,2322,34.54%,Zuluaga,69.64%,3103,46.15%,Zuluaga,7052,4.03,59.09,719.08,56.4,2.2,0,0.85,0,Ninguno,0,1501,0.658622203,778,0.341377797,2279,2364,33.52%,64.78%,No,No,0,0
SABANETA,ANTIOQUIA,20917,34.03%,29655,54.70%,Zuluaga,55.26%,29981,55.30%,Zuluaga,59616,0.08,1.1,5.75,5.63,0.3,0.02,0,0,Ninguno,0,16903,0.629346936,9955,0.370653064,26858,27182,45.60%,20.27%,No,No,0,0
SALGAR,ANTIOQUIA,3076,64.18%,3127,24.05%,Zuluaga,84.15%,4871,37.47%,Zuluaga,13483,1.71,51.31,495.07,74.01,2,0.06,0.06,0,Ninguno,0,1621,0.67457345,782,0.32542655,2403,2474,18.35%,50.53%,No,No,0,0
SAN ANDRES DE CUERQUIA,ANTIOQUIA,1011,43.42%,1513,31.12%,Zuluaga,71.02%,1808,37.19%,Zuluaga,5184,7.35,66.44,539.01,102.51,3.1,1.31,3.26,0,Intermedio,2,864,0.550318471,706,0.449681529,1570,1701,32.81%,60.29%,No,No,0,0
SAN CARLOS,ANTIOQUIA,3556,34.10%,5329,41.76%,Santos,46.21%,5964,46.74%,Santos,13944,10.57,40.91,2249.16,220.69,6.78,0.56,7.96,23.37,Ninguno,0,2697,0.530174956,2390,0.469825044,5087,5242,37.59%,62.33%,No,Si,1.44,0
SAN FRANCISCO,ANTIOQUIA,1730,45.21%,1849,31.08%,Zuluaga,50.04%,2370,39.83%,Zuluaga,6140,36.96,72.77,3455.38,233.82,51.32,3.64,17.81,0,Ninguno,0,901,0.577194106,660,0.422805894,1561,1637,26.66%,55.02%,No,Si,29.46,0
SAN JERONIMO,ANTIOQUIA,3622,45.06%,4179,35.67%,Zuluaga,62.35%,4921,42.00%,Zuluaga,11911,0.55,3.46,64.29,55.8,0.55,0,0,0,Ninguno,0,2135,0.628865979,1260,0.371134021,3395,3475,29.17%,67.87%,No,No,0,0
SAN JOSE DE LA MONTANA,ANTIOQUIA,944,34.98%,1378,44.99%,Zuluaga,65.68%,1387,45.28%,Zuluaga,3164,1.19,25.24,272.57,53.44,3.86,0,1.48,0,Ninguno,0,621,0.631097561,363,0.368902439,984,1032,32.62%,34.03%,No,No,0,0
SAN JUAN DE URABA,ANTIOQUIA,4933,20.56%,4592,29.40%,Santos,21.68%,7218,46.22%,Santos,17433,0.55,11.19,494.82,18.48,0.39,0,0.16,0,Ninguno,0,1365,0.337704107,2677,0.662295893,4042,4118,23.62%,68.04%,No,No,0,0
